address,road_name,building_count,room_type_list,room_type_count,building_types,building_type_count,avg_area,avg_deposit,avg_monthly_rent,construction_years,sample_count_total
경기도 수원시 영통구 영통동 1012-1,반달로35번길 30,2,"쓰리룸, 원룸",2,오피스텔,1,40.05,4995.99,57.04,"2017, 2017",149
경기도 수원시 영통구 영통동 958-2,봉영로 1617,2,"원룸, 투룸",2,오피스텔,1,30.07,1658.65,39.86,"2000, 2000",37
경기도 수원시 영통구 영통동 1024-14,덕영대로 1709,2,"원룸, 투룸",2,오피스텔,1,29.92,906.25,53.75,"2003, 2003",9
경기도 용인시 기흥구 서천동 7-6,덕영대로 1698,2,"미니원룸, 원룸",2,오피스텔,1,19.84,3583.33,55.56,"2022, 2022",42
경기도 용인시 기흥구 서천동 399-1,서그내로53번길 40-1,2,"쓰리룸, 원룸",2,오피스텔,1,43.76,14200.0,20.5,"2023, 2023",9
경기도 용인시 기흥구 서천동 265-14,서그내로 63,2,"쓰리룸, 원룸",2,오피스텔,1,46.38,17750.0,0.0,"2022, 2022",3
경기도 수원시 영통구 영통동 1***,매영로,1,쓰리룸형,1,단독다가구,1,75.0,7722.57,53.85,2012,42
경기도 수원시 영통구 영통동 9**,봉영로1482번길,1,투룸형,1,단독다가구,1,33.05,4172.73,41.34,2001,33
경기도 수원시 영통구 영통동 1***,청명북로,1,투룸형,1,단독다가구,1,47.0,2390.9,51.36,2015,72
경기도 수원시 영통구 영통동 1***,청명남로50번길,1,원룸형,1,단독다가구,1,26.33,1692.19,33.45,2000,523
경기도 수원시 영통구 영통동 9**,봉영로1492번길,1,원룸형,1,단독다가구,1,23.8,2483.52,28.12,2023,179
경기도 수원시 영통구 영통동 9**,덕영대로1681번길,1,쓰리룸형,1,단독다가구,1,60.0,3866.67,57.44,1998,9
경기도 수원시 영통구 영통동 6*,영통로,1,원룸형,1,단독다가구,1,20.0,3950.0,20.0,2001,2
경기도 수원시 영통구 영통동 6*,영통로351번길,1,투룸형,1,단독다가구,1,44.2,4750.0,15.0,2010,2
경기도 용인시 기흥구 서천동 7**,서천동로43번길,1,원룸형,1,단독다가구,1,29.7,2132.5,39.77,2014,40
경기도 용인시 기흥구 서천동 3**,예현로35번길,1,투룸형,1,단독다가구,1,39.6,7458.82,27.88,2017,17
경기도 용인시 기흥구 서천동 2**,서그내로,1,투룸형,1,단독다가구,1,30.0,5997.73,35.05,1997,22
경기도 용인시 기흥구 서천동 4*,서그내로53번길,1,투룸형,1,단독다가구,1,30.0,2000.0,50.0,1996,1
경기도 용인시 기흥구 서천동 755,서천동로21번길 11-22,1,22평형,1,아파트,1,75.26,24972.22,54.12,2016,18
경기도 용인시 기흥구 서천동 834,서그내로 31,1,22평형,1,아파트,1,74.94,39454.17,5.71,2017,36
경기도 수원시 영통구 영통동 1154,영통로200번길 111,1,18평형,1,아파트,1,59.83,36652.31,11.62,2017,51
경기도 수원시 영통구 영통동 1052-2,봉영로1744번길 16,1,18평형,1,아파트,1,59.8,22461.04,16.58,1998,126
경기도 수원시 영통구 영통동 1024-10,덕영대로 1705,1,6평형,1,아파트,1,20.35,800.0,61.2,2019,5
경기도 수원시 영통구 영통동 1153,삼성로320번길 62,1,25평형,1,아파트,1,85.0,31555.88,8.12,2006,17
경기도 수원시 영통구 영통동 1024-9,덕영대로 1703,1,4평형,1,아파트,1,15.12,1825.0,42.9,2013,20
경기도 수원시 영통구 영통동 987-1,영통로200번길 239,1,25평형,1,아파트,1,84.98,29677.27,35.5,2007,11
경기도 수원시 영통구 영통동 958-3,봉영로 1613,1,49평형,1,아파트,1,163.89,60000.0,0.0,2008,2
경기도 수원시 영통구 영통동 998-7,청명남로 25,1,원룸,1,오피스텔,1,24.38,3719.33,55.14,2017,90
경기도 수원시 영통구 영통동 945-2,중부대로 604,1,쓰리룸,1,오피스텔,1,95.46,12725.0,66.5,2006,20
경기도 수원시 영통구 영통동 947-8,봉영로1759번길 17,1,원룸,1,오피스텔,1,24.42,815.0,40.2,2003,20
경기도 수원시 영통구 영통동 1023-1,영일로 8,1,투룸,1,오피스텔,1,31.04,857.14,52.29,2004,7
경기도 수원시 영통구 영통동 1021-4,청명로 7,1,원룸,1,오피스텔,1,29.64,500.0,50.0,2001,1
경기도 용인시 기흥구 서천동 283,서그내로 52,1,미니원룸,1,오피스텔,1,13.62,433.33,38.21,2013,33
경기도 용인시 기흥구 서천동 279,서그내로62번길 15,1,쓰리룸,1,오피스텔,1,55.52,500.0,92.0,2022,5
경기도 용인시 기흥구 서천동 373-14,예현로35번길 32,1,쓰리룸,1,오피스텔,1,47.73,18000.0,0.0,2024,1
