id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,parking_spaces
34,영통로효성해링턴플레이스1차,경기도 용인시 기흥구 서천동 828,아파트,18평형,59.963,31729.081632653062,20.979166666666668,2017,서그내로16번길 30,49,0,0,0,0,,기타,개별난방,20170629,20170629,0
35,센트럴파크원,경기도 용인시 기흥구 서천동 736,아파트,22평형,74.92,31855.555555555555,0.0,2012,서천서로 27,9,60,15,2,0,,기타,개별난방,20121217,20121217,0
36,서천마을휴먼시아,경기도 용인시 기흥구 서천동 743,아파트,11평형,39.46,3524.608695652174,16.17391304347826,2011,서천로128번길 12,23,0,1,0,0,,기타,개별난방,20110614,20110614,0
37,서천마을휴먼시아,경기도 용인시 기흥구 서천동 743,아파트,15평형,51.93,5673.95,29.3,2011,서천로128번길 12,20,0,1,0,0,,기타,개별난방,20110614,20110614,0
38,힐스테이트서천,경기도 용인시 기흥구 서천동 801,아파트,29평형,97.9478,39250.0,42.2,2016,서천동로 22,6,68,18,0,0,,기타,개별난방,20160929,20160929,0
39,현대홈타운,경기도 용인시 기흥구 서천동 705,아파트,40평형,133.874,24250.0,72.5,2002,예현로35번길 21,4,40,20,0,0,,기타,개별난방,20021121,20021121,0
40,서천아이파크,경기도 용인시 기흥구 서천동 708,아파트,36평형,122.3048,41056.25,44.285714285714285,2009,서그내로16번길 14,8,0,1,0,0,,기타,개별난방,20090930,20090930,0
41,SK,경기도 용인시 기흥구 서천동 700,아파트,25평형,84.464,25375.0,31.93103448275862,2002,예현로 15,30,12,2,0,0,,기타,개별난방,20020520,20020520,0
42,영통로효성해링턴플레이스1차,경기도 용인시 기흥구 서천동 828,아파트,22평형,73.2363,32494.444444444445,39.27777777777778,2017,서그내로16번길 30,18,0,0,0,0,,기타,개별난방,20170629,20170629,0
43,서천아이파크,경기도 용인시 기흥구 서천동 708,아파트,37평형,122.4875,44550.0,72.0,2009,서그내로16번길 14,6,0,1,0,0,,기타,개별난방,20090930,20090930,0
44,서천마을4단지쌍용예가,경기도 용인시 기흥구 서천동 823,아파트,22평형,74.92,27366.666666666668,16.666666666666668,2012,서천동로 60,6,0,0,0,0,,기타,개별난방,20121217,20121217,0
45,현대홈타운,경기도 용인시 기흥구 서천동 705,아파트,25평형,84.257,24137.5,35.0,2002,예현로35번길 21,12,40,20,0,0,,기타,개별난방,20021121,20021121,0
46,SK,경기도 용인시 기흥구 서천동 700,아파트,38평형,127.785,34593.75,21.5625,2002,예현로 15,16,12,2,0,0,,기타,개별난방,20020520,20020520,0
47,SK,경기도 용인시 기흥구 서천동 700,아파트,46평형,154.197,37200.0,0.0,2002,예현로 15,2,12,2,0,0,,기타,개별난방,20020520,20020520,0
48,벽적골두산,경기도 수원시 영통구 영통동 973-3,아파트,18평형,59.73,23673.82113821138,17.90983606557377,1997,영통로 232,123,78,20,0,0,,기타,개별난방,19971216,19971216,0
49,황골마을주공1,경기도 수원시 영통구 영통동 955-1,아파트,18평형,59.99,20635.97272727273,25.381818181818183,1997,영통로 498,440,80,20,0,0,,기타,개별난방,19971216,19971216,0
50,황골마을주공1,경기도 수원시 영통구 영통동 955-1,아파트,15평형,49.76,15318.8,34.04040404040404,1997,영통로 498,100,80,20,0,0,,기타,개별난방,19971216,19971216,0
51,신나무실진흥,경기도 수원시 영통구 영통동 963-2,아파트,18평형,59.965,18144.025974025975,28.013157894736842,1997,매영로310번길 12,77,140,18,0,0,,기타,개별난방,19971216,19971216,0
52,벽적골롯데,경기도 수원시 영통구 영통동 971-1,아파트,18평형,59.96,24498.176470588234,15.547619047619047,2002,덕영대로1555번길 20,85,300,20,3,0,,기타,개별난방,20020330,20020330,0
53,신나무실신안,경기도 수원시 영통구 영통동 963-2,아파트,18평형,59.965,19224.855072463768,23.573529411764707,1997,매영로310번길 12,69,140,18,0,0,,기타,개별난방,19971216,19971216,0
54,벽적골롯데,경기도 수원시 영통구 영통동 971-1,아파트,11평형,38.16,11866.27397260274,36.28767123287671,2002,덕영대로1555번길 20,73,300,20,3,0,,기타,개별난방,20020330,20020330,0
