id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,latitude,longitude,school_walking_time,station_walking_time
25,신나무실휴먼시아5단지,경기 수원시 영통구 영통동 964-5,아파트,15평형,49.59,17086.36274509804,20.96039603960396,1997,경기 수원시 영통구 영통로290번길 25,102,100,20,0,0,,기타,개별난방,19971215,19971215,37.2521401996304,127.063222113966,27,14
26,영통에듀파크,경기 수원시 영통구 영통동 957-6,아파트,22평형,73.79,35227.51162790698,18.825116279069768,1997,경기 수원시 영통구 청명로 130,43,78,20,0,0,,기타,개별난방,19971216,19971216,37.2577252861516,127.074864316701,27,13
27,벽적골9단지주공,경기 수원시 영통구 영통동 970-3,아파트,14평형,49.26,14470.64,40.64,1999,경기 수원시 영통구 봉영로1517번길 27,50,44,15,1,0,,기타,개별난방,19991110,19991110,37.2473486674115,127.065305630191,27,14
28,일송프라자,경기 수원시 영통구 영통동 1024-10,아파트,6평형,20.35,800.0,61.2,2019,경기 수원시 영통구 덕영대로 1705,5,73,13,1,0,,기타,개별난방,20190823,20190823,37.2479711827832,127.077853477858,11,28
29,풍림,경기 수원시 영통구 영통동 1053-2,아파트,25평형,84.84,27448.924528301886,30.238983944685337,1997,경기 수원시 영통구 봉영로1744번길 11,53,119,20,0,0,,기타,개별난방,19971212,19971212,37.2657424786074,127.083631570629,43,30
30,영통센트럴파크뷰,경기 수원시 영통구 영통동 948-4,아파트,15평형,49.76,15357.894736842105,27.5,1999,경기 수원시 영통구 영통로514번길 53,19,80,20,0,0,,기타,개별난방,19990503,19990503,37.2658921504582,127.079699978739,45,31
31,청명마을대우,경기 수원시 영통구 영통동 956-2,아파트,30평형,99.87,40822.0,69.12,1998,경기 수원시 영통구 영통로 460,25,80,20,0,0,,기타,개별난방,19980623,19980623,37.2595535281107,127.076514789462,37,23
32,청명마을(주공),경기 수원시 영통구 영통동 1048-2,아파트,15평형,49.76,15475.0,42.07692307692308,1997,경기 수원시 영통구 청명북로 61,27,118,20,0,0,,기타,개별난방,19971212,19971212,37.2583033977232,127.079558400866,28,22
33,영통아이파크,경기 수원시 영통구 영통동 1153,아파트,25평형,84.9985,31555.882352941175,8.125,2006,경기 수원시 영통구 삼성로320번길 62,17,104,28,2,0,,기타,개별난방,20060728,20060728,37.2662017522098,127.071360999004,55,41
34,신나무실건영,경기 수원시 영통구 영통동 966-2,아파트,25평형,84.99,32792.0,40.0,2000,경기 수원시 영통구 매영로 346,6,68,17,2,0,,기타,개별난방,20000720,20000720,37.2511188527836,127.069362171432,17,3
