시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,세븐일레븐 경기도청점,20220316,영업,,,,,편의점,"경기도 수원시 팔달구 고등로 92, 1층 103호 (고등동)",경기도 수원시 팔달구 고등동 61-108 ,16445,37.2732650112,127.0072467147
수원시,세븐일레븐 탑동센터점,20170721,영업,,,,,편의점,"경기도 수원시 권선구 상탑로 10, 1층 101,102호 (탑동, 편의점 내)","경기도 수원시 권선구 탑동 815-1 101,102호, 편의점내 ",16606,37.2704734655,126.9723340500
수원시,지에스25 수원하늘채가점,2022-07-08,영업,,,,,편의점,"경기도 수원시 권선구 망포로 13, 상가동 103호 일부, 104호 (곡반정동, 수원 하늘채 더퍼스트 1단지)",경기도 수원시 권선구 곡반정동 652 수원 하늘채 더퍼스트 1단지 ,16668,37.2424266371,127.0358374164
수원시,지에스25인계프리미엄점,20120611,영업,,,,,편의점,경기도 수원시 팔달구 효원로265번길 41 (인계동),경기도 수원시 팔달구 인계동 1043-9 ,16490,37.2639430594,127.0312844282
수원시,지에스25수원하늘채나점,20220321,영업,,,,,편의점,"경기도 수원시 권선구 곡반정로 158, 상가동 1층 104호 (곡반정동)",경기도 수원시 권선구 곡반정동 0 상가동 104호,,,
수원시,GS25금곡우성점,20170724,영업,,,,,편의점,"경기도 수원시 권선구 금곡로 106, 112호 (금곡동, 우성메디피아)",경기도 수원시 권선구 금곡동 1085-2 우성메디피아 112호,16388,37.2739759438,126.9419904696
수원시,지에스25호매실수자인점,2018-07-18,영업,,,,,편의점,"경기도 수원시 권선구 칠보로 102, 상가2동 1층 109호 (호매실동, 한양수자인파크원)",경기도 수원시 권선구 호매실동 1361 한양수자인파크원 ,16401,37.2641279592,126.9506005595
수원시,세븐일레븐 영통경희대점,20220930,영업,,,,,편의점,"경기도 수원시 영통구 영일로6번길 17, 에코빌리 1층 101호 (영통동)",경기도 수원시 영통구 영통동 1023-5 ,16702,37.2483489044,127.0767543053
수원시,지에스25 수원화서주공점,20190802,영업,,,,,편의점,"경기도 수원시 팔달구 덕영대로697번길 47, 1층 101호 (화서동, 화서3단지주공아파트)","경기도 수원시 팔달구 화서동 646 화서3단지주공아파트내상가, 1층 101호",16435,37.2865065872,126.9923479956
수원시,지에스25더샵광교점,2022-06-22,영업,,,,,편의점,"경기도 수원시 장안구 송정로 190, 상가2동 2호 (조원동, 더샵광교산퍼스트파크)",경기도 수원시 장안구 조원동 925 더샵광교산퍼스트파크 ,16287,37.2978746049,127.0185949174
수원시,씨유수원SKV1점,20200212,영업,,,,,편의점,"경기도 수원시 권선구 평동로79번길 45, SK V1 motors 130호 (평동)",경기도 수원시 권선구 평동 179 ,16600,37.2598990401,126.9927070619
수원시,지에스25시탑동새롬점,20160516,영업,,,,,편의점,경기도 수원시 권선구 서둔로 253 (탑동),경기도 수원시 권선구 탑동 22-1 ,16604,37.2741430093,126.9786362242
수원시,씨유 인계타운점,20220817,영업,,,,,편의점,"경기도 수원시 팔달구 경수대로480번길 13, 1층 102호 (인계동)",경기도 수원시 팔달구 인계동 949-9 ,16487,37.2688268514,127.0285698250
수원시,세븐일레븐 수원세류타운점,20220816,영업,,,,,편의점,"경기도 수원시 권선구 세지로28번길 31-30, 1층 일부호 (세류동)",경기도 수원시 권선구 세류동 1094 ,16579,37.2553179513,127.0181215908
수원시,세븐일레븐 수원현정점,2018-02-23,영업,,,,,편의점,"경기도 수원시 권선구 경수대로384번길 42, 1층 (권선동)",경기도 수원시 권선구 권선동 1020 ,16571,37.2598316218,127.0264831944
수원시,씨유 수원메디프라자점,20200925,영업,,,,,편의점,"경기도 수원시 장안구 송정로90번길 3, 메디플라자 1층 101호 (정자동)",경기도 수원시 장안구 정자동 9-5 메디플라자 101호,16311,37.2953852893,127.0072829876
수원시,이마트24 고색사랑점,20221031,영업,,,,,편의점,경기도 수원시 권선구 고산로27번길 49 (고색동),경기도 수원시 권선구 고색동 395-5 ,16650,37.2484552766,126.9790838759
수원시,세븐일레븐 매탄한샘점,20201209,영업,,,,,편의점,"경기도 수원시 영통구 매여울로 36, 1층 (매탄동)",경기도 수원시 영통구 매탄동 196-66 ,16524,37.2712915730,127.0457099339
수원시,세븐일레븐 수원우리점,20220705,영업,,,,,편의점,"경기도 수원시 권선구 정조로482번길 20, 1층 일부호 (세류동)",경기도 수원시 권선구 세류동 980-18 ,16656,37.2522123654,127.0125483642
수원시,세븐일레븐 호매실한양수자인점,2022-09-21,영업,,,,,편의점,"경기도 수원시 권선구 칠보로 102, 105호 (호매실동, 한양수자인파크원)",경기도 수원시 권선구 호매실동 1361 한양수자인파크원 ,16401,37.2641279592,126.9506005595
수원시,CU화서블루밍점,20221028,영업,,,,,편의점,"경기도 수원시 팔달구 팔달로153번길 65, 두남빌딩 1층 (화서동)",경기도 수원시 팔달구 화서동 81-48 ,16439,37.2824736738,127.0020877923
수원시,GS25서둔아크빌,20220825,영업,,,,,편의점,"경기도 수원시 권선구 서호서로33번길 6-14, 1층 (서둔동, 아크빌)",경기도 수원시 권선구 서둔동 118-1 아크빌 ,16615,37.2690946975,126.9846938729
수원시,세븐일레븐 수원정조로점,20220913,영업,,,,,편의점,"경기도 수원시 장안구 정조로981번길 13, 1층 (정자동)",경기도 수원시 장안구 정자동 6-1 ,16311,37.2941227549,127.0093107845
수원시,미니스톱장안나이스점,20220117,영업,,,,,편의점,"경기도 수원시 장안구 덕영대로407번길 83, 상가동 지하층 7,8,9호 (율전동, 서희스타힐스3단지)",경기도 수원시 장안구 율전동 560 서희스타힐스3단지 ,16356,37.3041553817,126.9676416369
수원시,씨유 수원뜨레모아점,20211001,영업,,,,,편의점,"경기도 수원시 장안구 송정로118번길 7, 1층 106호 (조원동)",경기도 수원시 장안구 조원동 664-8 ,16310,37.2955152957,127.0103735941
수원시,지에스25 송죽만석점,20211019,영업,,,,,편의점,"경기도 수원시 장안구 정조로1102번길 24, 1층 (송죽동)",경기도 수원시 장안구 송죽동 454 ,16303,37.3038489079,127.0028721788
수원시,CU율전농협사거리점,20211215,영업,,,,,편의점,"경기도 수원시 장안구 화산로233번길 12, 1층 (율전동)",경기도 수원시 장안구 율전동 295 율전치과 ,16360,37.2991928419,126.9705651174
수원시,GS25수원영헌점,20151030,영업,,,,,편의점,"경기도 수원시 팔달구 효원로265번길 20, 1층 (인계동)",경기도 수원시 팔달구 인계동 1046-7 1층 ,16490,37.2630327624,127.0313126253
수원시,씨유 매산중앙점,20220106,영업,,,,,편의점,"경기도 수원시 팔달구 매산로116번길 14, 1층 (교동)",경기도 수원시 팔달구 교동 142-19 ,16464,37.2706317245,127.0134898659
수원시,지에스(GS)25 수원망포마을점,20181211,영업,,,,,편의점,"경기도 수원시 영통구 영통로173번길 23-28, 1층 101호 (망포동)",경기도 수원시 영통구 망포동 291-18 101호,16689,37.2421048927,127.0529544282
수원시,GS25팔달유진점,20190326,영업,,,,,편의점,"경기도 수원시 팔달구 중부대로 119, 1층 (지동)",경기도 수원시 팔달구 지동 73-5 ,16249,37.2784028193,127.0293673995
수원시,이마트24 R 영통임광점,20220128,영업,,,,,편의점,"경기도 수원시 영통구 권선로803번길 36, 1층 일부호 (매탄동)",경기도 수원시 영통구 매탄동 1166 ,16546,37.2570271751,127.0399203174
수원시,씨유 영통중앙점,20210820,영업,,,,,편의점,"경기도 수원시 영통구 청명남로4번길 21-15, 1층 일부호 (영통동)",경기도 수원시 영통구 영통동 1002-14 ,16705,37.2504515502,127.0749045588
수원시,씨유 광교해링턴점,20211028,영업,,,,,편의점,"경기도 수원시 영통구 광교중앙로 170, 광교 효성해링턴 타워 1층 123호 (하동)",경기도 수원시 영통구 하동 1016 광교 효성해링턴 타워 ,16514,37.2880507687,127.0606475494
수원시,GS25숙지공원점,2021-12-28,영업,,,,,편의점,"경기도 수원시 팔달구 화양로 66-3, 1층 101호 (화서동, 화서동 270-9 공동주택)",경기도 수원시 팔달구 화서동 270-9 화서동 270-9 공동주택 ,16434,37.2839810309,126.9961779225
수원시,씨유 수원센트럴파크점,20220307,영업,,,,,편의점,"경기도 수원시 장안구 대평로 28-16, 1층 (정자동)",경기도 수원시 장안구 정자동 887-6 ,16317,37.2913027479,126.9967496153
수원시,CU수원연무점2,20211227,영업,,,,,편의점,"경기도 수원시 팔달구 월드컵로 379, 1층 (우만동)",경기도 수원시 팔달구 우만동 466 ,16232,37.2909238675,127.0295489036
수원시,지에스더프레시 수원화서점,20211028,영업,,,,,편의점,"경기도 수원시 장안구 대평로 27, 201동 1층 107~109호 (정자동, 화서역 파크푸르지오)",경기도 수원시 장안구 정자동 950 화서역 파크푸르지오 ,16318,37.2902327497,126.9952562514
수원시,세븐일레븐 수원탑동점,2022-02-23,영업,,,,,편의점,"경기도 수원시 권선구 탑동로58번길 56, 1층 102호 (탑동)",경기도 수원시 권선구 탑동 760-1 ,16604,37.2749700232,126.9760813315
수원시,GS25우만싱싱점,20180718,영업,,,,,편의점,"경기도 수원시 팔달구 경수대로656번길 63, 1층 (우만동)",경기도 수원시 팔달구 우만동 503-17 ,16237,37.2856496323,127.0315446715
수원시,GS25고색거산,20211222,영업,,,,,편의점,"경기도 수원시 권선구 고현로5번길 25, 상가동 1층 101호 (고색동, 거산아파트)",경기도 수원시 권선구 고색동 306-1 거산아파트 상가동 101호,16649,37.2480345525,126.9859423276
수원시,지에스(GS)25뉴인계원룸점,2021-09-06,영업,,,,,편의점,"경기도 수원시 팔달구 장다리로283번길 9, 1층 101호 (인계동, 다온 NOBLE)",경기도 수원시 팔달구 인계동 956 다온 NOBLE ,16482,37.2748645087,127.0281486709
수원시,씨유 수원조원주공점,20201116,영업,,,,,편의점,"경기도 수원시 장안구 금당로39번길 34, 1층 (조원동, 주공뉴타운)",경기도 수원시 장안구 조원동 861 주공뉴타운 ,16281,37.3029851712,127.0207401165
수원시,씨유수원곡반정점,20140311,영업,,,,,편의점,"경기도 수원시 권선구 경수대로54번길 99-6 (곡반정동, 씨유수원곡반정점 내)",경기도 수원시 권선구 곡반정동 584-6 씨유수원곡반정점 내 ,16672,37.2353226664,127.0264899708
수원시,씨유당수해피점,20211022,영업,,,,,편의점,"경기도 수원시 권선구 당진로15번길 42, 1층 (당수동)",경기도 수원시 권선구 당수동 276-19 ,16376,37.2916810419,126.9385653659
수원시,세븐일레븐 수원팔달원룸점,2021-11-30,영업,,,,,편의점,"경기도 수원시 팔달구 중부대로12번길 2, 1층 (구천동)",경기도 수원시 팔달구 구천동 22 ,16263,37.2749764304,127.0178947971
수원시,씨유(CU) 천천삼호점,20211221,영업,,,,,편의점,"경기도 수원시 장안구 하률로46번길 22, 101,102 일부호 (천천동, 삼호진덕아파트)",경기도 수원시 장안구 천천동 565 삼호진덕아파트 ,16324,37.3024799273,126.9780118877
수원시,씨유 연무남창점,20200417,영업,,,,,편의점,"경기도 수원시 장안구 창훈로 27, 1층 (연무동)",경기도 수원시 장안구 연무동 227-3 ,16216,37.2950738334,127.0304482361
수원시,세븐일레븐(수원영통점),2003-03-27,영업,,,,,편의점,"경기도 수원시 영통구 청명로 7 (영통동,청명타운텔)",경기도 수원시 영통구 영통동 1021-4 청명타운텔 ,16702,37.2484196392,127.0788962896
수원시,씨유 우만사거리점,2021-09-27,영업,,,,,편의점,"경기도 수원시 팔달구 중부대로 185, 성원빌딩 1층 (우만동)",경기도 수원시 팔달구 우만동 140-4 성원빌딩 ,16494,37.2773315395,127.0365706943
수원시,지에스25 권선구청점,20211126,영업,,,,,편의점,"경기도 수원시 권선구 호매실로 21-51, 103호 (고색동)",경기도 수원시 권선구 고색동 1176-1 103호,16633,37.2555543742,126.9720998261
수원시,씨유연무중앙점,2013-03-26,영업,,,,,편의점,"경기도 수원시 장안구 연무로20번길 3, 1층 (연무동)",경기도 수원시 장안구 연무동 229-24 ,16216,37.2942471774,127.0288399766
수원시,CU수원경서점,20190220,영업,,,,,편의점,"경기도 수원시 팔달구 중부대로106번길 34, 1층 (인계동)",경기도 수원시 팔달구 인계동 218-6 1층 ,16471,37.2763829427,127.0291769379
수원시,세븐일레븐 수원권광로점,20211230,영업,,,,,편의점,"경기도 수원시 팔달구 권광로196번길 50, 1층 (인계동)",경기도 수원시 팔달구 인계동 1118-4 ,16488,37.2641868835,127.0359745717
수원시,지에스25 수원행리단길점,2021-12-16,영업,,,,,편의점,"경기도 수원시 팔달구 화서문로 48, 1층 (신풍동)",경기도 수원시 팔달구 신풍동 42-1 ,16251,37.2852150705,127.0132042178
수원시,지에스25 연무플라워점,20210726,영업,,,,,편의점,"경기도 수원시 장안구 창훈로52번길 25, 1층 (연무동)",경기도 수원시 장안구 연무동 56-24 장미슈퍼 ,16213,37.2972686720,127.0315741713
수원시,씨유 수원역자이서문점,20210312,영업,,,,,편의점,"경기도 수원시 팔달구 고등로 15, 근린생활시설3동 지하2층 29,30호 (고등동, 수원역푸르지오자이)",경기도 수원시 팔달구 고등동 156-117 수원역푸르지오자이 ,16452,37.2764446576,127.0002550538
수원시,씨유 수원시청점,2020-09-02,영업,,,,,편의점,"경기도 수원시 팔달구 효원로235번길 34, 1층 (인계동)",경기도 수원시 팔달구 인계동 1030-13 ,16490,37.2644181105,127.0283379133
수원시,GS수원이목,20160610,영업,,,,,편의점,경기도 수원시 장안구 장안로 422 (이목동),경기도 수원시 장안구 이목동 241-6 ,16208,37.3174520567,126.9821405973
