시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,GS25고진역힐스점,2025-01-10,영업,,,,,편의점,"경기도 용인시 처인구 고림로162번길 39, 근린생활시설2동 101호 (고림동, 힐스테이트 용인 고진역 2단지)",경기도 용인시 처인구 고림동 1028 힐스테이트 용인 고진역 2단지 ,17148,37.2437736726,127.2247757598
용인시,지에스25몬테로이3상가점,2025-02-11,영업,,,,,편의점,"경기도 용인시 처인구 모현읍 왕산로 16, 330(근린생활시설)동 106호 (힐스테이트 몬테로이 3단지)",경기도 용인시 처인구 모현읍 왕산리 955 힐스테이트 몬테로이 3단지 ,17035,37.3447881761,127.2597794859
용인시,씨유모현동림점,2021-01-22,영업,,,,,편의점,"경기도 용인시 처인구 모현읍 문형동림로 83, 1층 일부",경기도 용인시 처인구 모현읍 동림리 217-7 ,16888,37.3360351361,127.1932485088
용인시,이마트24 풍덕천래미안점,2025-01-20,영업,,,,,편의점,"경기도 용인시 수지구 신수로683번길 19, 상가동 1층 101호, 102호 일부호 (풍덕천동, 래미안수지이스트파크)",경기도 용인시 수지구 풍덕천동 1198 래미안수지이스트파크 ,16831,37.3294357786,127.0993720960
용인시,세븐일레븐 뉴용인강남마을점,2025-01-23,영업,,,,,편의점,"경기도 용인시 기흥구 강남동로 45, 강남마을 자연앤아파트 101일부호 (구갈동)",경기도 용인시 기흥구 구갈동 600 강남마을 자연앤아파트 101일부호,,,
용인시,GS25 수지구청점,2025-02-05,영업,,,,,편의점,"경기도 용인시 수지구 풍덕천로140번길 9-1, 1층 일부호 (풍덕천동)",경기도 용인시 수지구 풍덕천동 722-7 ,16835,37.3232010615,127.0975654387
용인시,씨유 다이소남사허브센터점,2025-07-31,영업,,,,,편의점,"경기도 용인시 처인구 남사읍 경기동로 197, 창고지원동 1층 일부(용인 다이소 허브센터)",경기도 용인시 처인구 남사읍 북리 608-23 용인 다이소 허브센터 ,17118,37.1412756182,127.1500897277
용인시,지에스25송전레이크점,2023-03-21,영업,,,,,편의점,"경기도 용인시 처인구 이동읍 경기동로 659, 1층 일부호",경기도 용인시 처인구 이동읍 송전리 913-8 ,17136,37.1418042580,127.1945863046
용인시,이마트24 R보라스카이점,2025-09-30,영업,,,,,편의점,"경기도 용인시 기흥구 한보라1로10번길 15, 메가프라자 102일부호 (보라동)",경기도 용인시 기흥구 보라동 575-3 102일부호,17080,37.2533606602,127.1081762213
용인시,GS25보정자이,2010-10-01,영업,,,,,편의점,"경기도 용인시 기흥구 용구대로2469번길 20, 1동 129호 (보정동,죽전자이2차)",경기도 용인시 기흥구 보정동 1291 죽전자이2차 1동 129호,16905,37.3085016697,127.1062765598
용인시,씨유 용인고림3차점,2023-03-23,영업,,,,,편의점,"경기도 용인시 처인구 경안천로 120, 332동 1층 118호 (고림동, 용인고림 양우내안愛 더센트럴)",경기도 용인시 처인구 고림동 723-3 용인고림 양우내안愛 더센트럴 ,17148,37.2425768885,127.2142381183
용인시,SWEET BOX(스윗박스),2020-09-25,영업,,,,,편의점,"경기도 용인시 수지구 신봉1로71번길 25, 1층 105(일부)호 (신봉동, 신봉마을 자이3차)",경기도 용인시 수지구 신봉동 912 신봉마을 자이3차 ,16810,37.3209238817,127.0778261872
용인시,씨유 용인좌항점,2025-08-07,영업,,,,,편의점,"경기도 용인시 처인구 원삼면 원양로 540, 1층 일부",경기도 용인시 처인구 원삼면 좌항리 388-50 ,17166,37.1966575198,127.3184941494
용인시,씨유용인마성점,2016-06-22,영업,,,,,편의점,경기도 용인시 처인구 포곡읍 석성로 813-4 (1층일부),경기도 용인시 처인구 포곡읍 마성리 167-11 1층일부 ,17024,37.2814150627,127.1879992125
용인시,지에스25죽전한양점,2023-08-11,영업,,,,,편의점,"경기도 용인시 수지구 푸른솔로 78, 도담마을 한양수자인 상가동 1층 103호 일부호 (죽전동)",경기도 용인시 수지구 죽전동 1262 도담마을아이월드아파트 ,16874,37.3252982883,127.1184242368
용인시,세븐일레븐 용인상갈점,2016-08-25,영업,,,,,편의점,"경기도 용인시 기흥구 금화로82번길 9 (상갈동, 주공프라자 103호)",경기도 용인시 기흥구 상갈동 459-3 주공프라자 103호 ,17072,37.2659407163,127.1098591890
용인시,씨유 동백윤들래점,2020-09-09,영업,,,,,편의점,"경기도 용인시 기흥구 동백1로 31, 윤들래 뜰 1층 103일부호 (중동)",경기도 용인시 기흥구 중동 977-1 윤들래 뜰 1층 103일부호,17012,37.2651123385,127.1598371343
용인시,GS 동천자이,2018-09-19,영업,,,,,편의점,"경기도 용인시 수지구 고기로 89, 상가동 A104호 (동천동, 동천자이아파트)",경기도 용인시 수지구 동천동 105-3 동천자이아파트 A104호,16824,37.3458840215,127.0908734878
용인시,세븐일레븐 용인신정로점,2023-06-27,영업,,,,,편의점,"경기도 용인시 기흥구 신정로 213, 1층 5호 일부호 (신갈동)",경기도 용인시 기흥구 신갈동 537-76 1층 5호일부 ,16945,37.2886935698,127.0995543667
용인시,CU용인천덕산로점,2023-05-04,영업,,,,,편의점,"경기도 용인시 처인구 남사읍 천덕산로 481, 1층",경기도 용인시 처인구 남사읍 원암리 194-14 원암마트 ,17124,37.0913610117,127.1490928393
용인시,씨유용인청현마을점,2025-09-09,영업,,,,,편의점,"경기도 용인시 기흥구 덕영대로2077번길 4, 101일부호 (영덕동)",경기도 용인시 기흥구 영덕동 43 101일부호,17095,37.2689919908,127.0977526153
용인시,지에스25 둔전힐스점,2025-03-28,영업,,,,,편의점,"경기도 용인시 처인구 금어로 46, C동 102호 (고림동, 힐스테이트용인둔전역)",경기도 용인시 처인구 고림동 1021 ,17038,37.2647585009,127.2210114507

