대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100176311,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,기숙사B동,0,주건축물,0,1974.08,0,23057.1,20626.78,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,48.5,13,2,2,0,0,0,23057.1,0,0,0,0,0,0,0,0,20021105,20060302,20071214,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179171,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,외국어대학관,0,주건축물,0,3871.5,0,11936.2,11007.5,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,21.6,4,1,0,0,0,0,11936.2,0,0,0,0,0,0,0,0,,,19820910,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179174,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,정문/새천년기념탑,0,주건축물,0,186,0,186,186,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,스라브,0,0,18,1,0,0,0,0,0,186,0,0,0,0,0,0,0,0,20001129,20010323,20021205,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179175,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,지하주차장,0,주건축물,0,34.72,0,12638.23,34.72,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,3.3,1,1,0,0,0,0,12638.23,0,0,0,0,0,0,403,0,20001129,20010323,20021127,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179150,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,유류저장소-실험동,0,주건축물,0,50,0,50,50,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,90,기타지붕,경량트러스위스레트,0,0,3,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,19890812,19890815,19950228,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179180,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,공학관,0,주건축물,0,5333.4,0,24593.94,21126.09,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,24.5,5,2,2,0,0,0,24593.94,0,0,0,0,0,0,145,0,,,19810323,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179166,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,전자정보대학관,0,주건축물,0,4715.1,0,21253.85,19139.89,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,39.1,7,1,3,0,0,0,21253.85,0,0,0,0,0,0,4,0,19951005,19951206,,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179177,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,소각장,0,주건축물,0,360,0,360,360,0,32,경량철골구조,경량철골구조,10000,교육연구시설,교육연구시설,90,기타지붕,판넬,0,0,11,1,0,0,0,0,0,360,0,0,0,0,0,0,0,0,19980320,19980321,19980824,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179173,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,노천극장,0,주건축물,0,252.44,0,510.69,252.44,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,9.8,1,1,0,0,0,0,510.69,0,0,0,0,0,0,0,0,20021105,20030514,20040923,2002,,,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179155,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,한방재료가공센터A동,0,주건축물,0,513.69,0,995.72,995.72,0,32,경량철골구조,"조립식구조,일반철골구조",10000,교육연구시설,교육연구시설,90,기타지붕,경량트러스위판넬,0,0,10,2,0,0,0,0,0,995.72,0,0,0,0,0,0,0,0,19890812,19890901,19950228,,,,,,0,,0,0,,0,,0,20220909,0,
