대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 수원시 영통구 영통동 48-3번지,41117,10500,0,0048,0003,10841100473251,1,일반,2,일반건축물,경기도 수원시 영통구 매영로269번길 51 (영통동),YISOFT R&D CENTER,,,,0,411174331053,10502,0,51,0,주건축물제1동,0,주건축물,332,198.92,59.92,1332.28,1115.25,335.92,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,연구소,10,(철근)콘크리트,(철근)콘크리트,0,1,32.28,6,1,1,0,0,0,1332.28,0,0,0,0,0,0,6,187.59,20200529,20200725,20210804,2020,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20230126,1,Ⅶ-0.17g
경기도 수원시 영통구 영통동 49-1번지,41117,10500,0,0049,0001,10841242022,1,일반,2,일반건축물,경기도 수원시 영통구 매영로269번길 39 (영통동),동일테크(주)2동,,,,2,411174331053,10502,0,39,,,0,주건축물,1512,849.56,56.19,2265.6,2265.6,149.84,31,일반철골구조,일반철골구조,04000,제2종근린생활시설,"제2종근린생활시설,창고시설",10,(철근)콘크리트,"기타지붕(철골조),(철근)콘크리트",0,0,15.6,4,0,0,0,0,0,2246.88,0,0,0,0,16,628.56,0,0,20051228,20060320,20061020,2005,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 50번지,41117,10500,0,0050,0000,10841242023,1,일반,2,일반건축물,경기도 수원시 영통구 매영로269번길 35 (영통동),,,,,1,411174331053,10502,0,35,,,0,주건축물,834,132,15.83,132,132,15.83,32,경량철골구조,조립식판넬조,04000,제2종근린생활시설,근린생활시설,90,기타지붕,경사샌드위치판넬,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19980921,19981023,19981228,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 57번지,41117,10500,0,0057,0000,10841242024,1,일반,2,일반건축물,경기도 수원시 영통구 매영로269번길 15 (영통동),예인교회,,,,0,411174331053,10502,0,15,0,,0,주건축물,987,562.44,56.98,1929.2,1929.2,195.46,21,철근콘크리트구조,"철근콘크리트구조,철골구조",06000,종교시설,문화및집회시설,90,기타지붕,철골 트러스,0,0,20.7,4,0,1,0,0,0,1929.2,0,0,0,0,7,239.45,7,123.15,20020911,20021130,20040117,2002,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 58번지,41117,10500,0,0058,0000,10841100314040,1,일반,2,일반건축물,경기도 수원시 영통구 매영로269번길 27 (영통동),영통성요셉성당,,,,0,411174331053,10201,0,27,,성당동,0,주건축물,0,1379.66,0,7681.05,3467.89,0,21,철근콘크리트구조,철근콘크리트구조,06000,종교시설,종교시설,10,(철근)콘크리트,(철근)콘크리트(경사지붕),0,0,23.2,4,2,2,0,0,0,7681.05,0,0,0,0,0,0,0,0,20041117,20050401,20141205,2004,3740058,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 58번지,41117,10500,0,0058,0000,10841100314039,1,일반,2,일반건축물,경기도 수원시 영통구 매영로269번길 27 (영통동),영통성요셉성당,,,,0,411174331053,10201,0,27,,사제관동,0,주건축물,0,163.04,0,392.8,392.8,0,21,철근콘크리트구조,철근콘크리트구조,06000,종교시설,종교시설,10,(철근)콘크리트,(철근)콘크리트(경사지붕),0,0,16.7,3,0,0,0,0,0,392.8,0,0,0,0,0,0,0,0,20041117,20050401,20141205,2004,3740058,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 59번지,41117,10500,0,0059,0000,10841242028,1,일반,2,일반건축물,경기도 수원시 영통구 매영로 261 (영통동),,,,,0,411173177003,10503,0,261,0,C동,0,주건축물,0,159.02,0,265.84,265.84,0,31,일반철골구조,일반철골구조,20000,자동차관련시설,자동차관련시설,10,(철근)콘크리트,(철근)콘크리트,0,0,7.7,2,0,0,0,0,0,265.84,0,0,0,0,0,0,0,0,20031110,20031117,20040330,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 59번지,41117,10500,0,0059,0000,10841242027,1,일반,2,일반건축물,경기도 수원시 영통구 매영로 261 (영통동),,,,,0,411173177003,10503,0,261,0,D동,0,주건축물,0,330.27,0,381.55,381.55,0,31,일반철골구조,철골조,20000,자동차관련시설,자동차관련시설,90,기타지붕,샌드위치판넬,0,0,6.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19990616,19990621,19990831,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 59번지,41117,10500,0,0059,0000,10841242026,1,일반,2,일반건축물,경기도 수원시 영통구 매영로 261 (영통동),,,,,0,411173177003,10503,0,261,0,A동,0,주건축물,0,388,0,388,388,0,31,일반철골구조,철골조,20000,자동차관련시설,자동차관련시설,90,기타지붕,샌드위치판넬,0,0,3.2,1,0,0,0,0,0,388,0,0,0,0,0,0,0,0,19990226,19990304,19990417,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 59번지,41117,10500,0,0059,0000,10841242025,1,일반,2,일반건축물,경기도 수원시 영통구 매영로 261 (영통동),,,,,0,411173177003,10503,0,261,0,B동,0,주건축물,0,124.41,0,124.41,124.41,0,31,일반철골구조,철골조,20000,자동차관련시설,자동차관련시설,90,기타지붕,샌드위치판넬,0,0,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19990226,19990304,19990417,,,,,,0,,0,0,,0,,0,20220909,0,
