사업장명,소재지지번주소,소재지도로명주소,영업상태명,위생업태명,WGS84위도,WGS84경도,지역구분
지에스25 수원화서주공점,"경기도 수원시 팔달구 화서동 646 화서3단지주공아파트내상가, 1층 101호","경기도 수원시 팔달구 덕영대로697번길 47, 1층 101호 (화서동, 화서3단지주공아파트)",영업,편의점,37.2865065872,126.9923479956,팔달구
씨유수원SKV1점,경기도 수원시 권선구 평동 179 ,"경기도 수원시 권선구 평동로79번길 45, SK V1 motors 130호 (평동)",영업,편의점,37.2598990401,126.9927070619,권선구
지에스25시탑동새롬점,경기도 수원시 권선구 탑동 22-1 ,경기도 수원시 권선구 서둔로 253 (탑동),영업,편의점,37.2741430093,126.9786362242,권선구
씨유 인계타운점,경기도 수원시 팔달구 인계동 949-9 ,"경기도 수원시 팔달구 경수대로480번길 13, 1층 102호 (인계동)",영업,편의점,37.2688268514,127.028569825,팔달구
세븐일레븐 수원세류타운점,경기도 수원시 권선구 세류동 1094 ,"경기도 수원시 권선구 세지로28번길 31-30, 1층 일부호 (세류동)",영업,편의점,37.2553179513,127.0181215908,권선구
세븐일레븐 수원현정점,경기도 수원시 권선구 권선동 1020 ,"경기도 수원시 권선구 경수대로384번길 42, 1층 (권선동)",영업,편의점,37.2598316218,127.0264831944,권선구
이마트24 고색사랑점,경기도 수원시 권선구 고색동 395-5 ,경기도 수원시 권선구 고산로27번길 49 (고색동),영업,편의점,37.2484552766,126.9790838759,권선구
세븐일레븐 매탄한샘점,경기도 수원시 영통구 매탄동 196-66 ,"경기도 수원시 영통구 매여울로 36, 1층 (매탄동)",영업,편의점,37.271291573,127.0457099339,영통구
세븐일레븐 수원우리점,경기도 수원시 권선구 세류동 980-18 ,"경기도 수원시 권선구 정조로482번길 20, 1층 일부호 (세류동)",영업,편의점,37.2522123654,127.0125483642,권선구
세븐일레븐 호매실한양수자인점,경기도 수원시 권선구 호매실동 1361 한양수자인파크원 ,"경기도 수원시 권선구 칠보로 102, 105호 (호매실동, 한양수자인파크원)",영업,편의점,37.2641279592,126.9506005595,권선구
CU화서블루밍점,경기도 수원시 팔달구 화서동 81-48 ,"경기도 수원시 팔달구 팔달로153번길 65, 두남빌딩 1층 (화서동)",영업,편의점,37.2824736738,127.0020877923,팔달구
GS25서둔아크빌,경기도 수원시 권선구 서둔동 118-1 아크빌 ,"경기도 수원시 권선구 서호서로33번길 6-14, 1층 (서둔동, 아크빌)",영업,편의점,37.2690946975,126.9846938729,권선구
