사업장명,소재지지번주소,소재지도로명주소,영업상태명,위생업태명,WGS84위도,WGS84경도,지역구분
씨유 뉴동수원사거리점,경기도 수원시 팔달구 인계동 939 신동아 파스텔 ,"경기도 수원시 팔달구 경수대로 584, 신동아 파스텔 1층 101-1호 (인계동)",영업,편의점,37.2776720183,127.0314700344,팔달구
세븐일레븐 매산타워점,경기도 수원시 팔달구 교동 149-2 ,"경기도 수원시 팔달구 매산로 102, 1층 107호 (교동)",영업,편의점,37.270482261,127.0122163068,팔달구
GS25인계예술점,경기도 수원시 팔달구 인계동 1122-10 삼호파크타워 ,"경기도 수원시 팔달구 효원로 303, 삼호파크타워 1층 105호 (인계동)",영업,편의점,37.2613172429,127.0351576357,팔달구
지에스 세류유천점,경기도 수원시 권선구 세류동 476-9 ,"경기도 수원시 권선구 정조로565번길 3, 1층 (세류동)",영업,편의점,37.259494795,127.0123435563,권선구
GS THE FRESH 수원 매탄점,경기도 수원시 영통구 매탄동 1352 매탄 위브 하늘채 ,"경기도 수원시 영통구 효원로 363, 303 상가 B1층 일부호 (매탄동, 매탄 위브 하늘채)",영업,편의점,37.2609646021,127.04181355,영통구
세븐일레븐 수원오목천점,경기도 수원시 권선구 오목천동 558-7 ,"경기도 수원시 권선구 오목천로 54, 1층 101,102 일부호 (오목천동)",영업,편의점,37.239709175,126.968365801,권선구
지에스25 수원금호로,경기도 수원시 권선구 호매실동 81-1 ,"경기도 수원시 권선구 금호로 62, 1층 (호매실동)",영업,편의점,37.2698691767,126.9582848427,권선구
세븐일레븐 구운르본느점,경기도 수원시 권선구 구운동 955-4 ,"경기도 수원시 권선구 구운로47번길 60, 1층 (구운동)",영업,편의점,37.2779355335,126.9699921172,권선구
CU 매탄산남점,경기도 수원시 영통구 매탄동 111-113 ,"경기도 수원시 영통구 매봉로35번길 51, 1층 (매탄동)",영업,편의점,37.2718129689,127.0500605567,영통구
씨유수원천담점,경기도 수원시 팔달구 인계동 1116-10 ,"경기도 수원시 팔달구 권광로196번길 43-20, 1층 101호 (인계동)",영업,편의점,37.2651704406,127.0362392128,팔달구
GS25 호반프라자점,경기도 수원시 영통구 원천동 607-1 103호,"경기도 수원시 영통구 월드컵로87번길 7, 호반프라자 1층 103호 (원천동)",영업,편의점,37.2737860966,127.0545831553,영통구
씨유 광교웰빙타운점,경기도 수원시 영통구 이의동 1204-8 102호,"경기도 수원시 영통구 웰빙타운로49번길 36, 에코프라자 1층 102호 (이의동)",영업,편의점,37.3039452759,127.0470933332,영통구
세븐일레븐 수원세권로점,경기도 수원시 권선구 권선동 1330 권선자이 이편한세상 ,"경기도 수원시 권선구 권광로 55, 상가동 117호 (권선동, 권선자이 이편한세상)",영업,편의점,37.2528439957,127.0260307717,권선구
세븐일레븐 팔달우만점,경기도 수원시 팔달구 우만동 559 ,"경기도 수원시 팔달구 팔달문로140번길 38, 1층 (우만동)",영업,편의점,37.280846448,127.0318564552,팔달구
세븐일레븐 수원벤처밸리점,경기도 수원시 권선구 고색동 958 고색동 첨단벤처밸리 ,"경기도 수원시 권선구 오목천로152번길 40, 고색동 첨단벤처밸리 1층 108호 (고색동)",영업,편의점,37.2429220903,126.9773518137,권선구
씨유(CU)수원팔달초점,경기도 수원시 팔달구 우만동 147-18 ,"경기도 수원시 팔달구 권광로367번길 27, 1층 103호 (우만동)",영업,편의점,37.27879799,127.0358510513,팔달구
씨유 화서프리미엄점,경기도 수원시 팔달구 화서동 181-5 ,"경기도 수원시 팔달구 동말로48번길 26, 1층 (화서동)",영업,편의점,37.277595309,126.9995142468,팔달구
세븐일레븐 수원곡반대로점,경기도 수원시 권선구 곡반정동 550-3 ,"경기도 수원시 권선구 곡반정로 137, 1층 일부호 (곡반정동)",영업,편의점,37.240176805,127.0321870206,권선구
GS25수원은혜점,경기도 수원시 권선구 권선동 1286-2 1층 ,"경기도 수원시 권선구 세권로 304, 1층 (권선동)",영업,편의점,37.2521127527,127.0371424241,권선구
이마트24 R팔달힐스테이트점,경기도 수원시 팔달구 매산로3가 69-5 ,경기도 수원시 팔달구 매산로92번길 12 (매산로3가),영업,편의점,37.2693669209,127.0106106365,팔달구
세븐일레븐 권선중앙점,경기도 수원시 권선구 권선동 972-10 1층 ,"경기도 수원시 권선구 장다리로 109, 1층 (권선동)",영업,편의점,37.2598848308,127.0217801979,권선구
세븐일레븐 수원3산업단지점,경기도 수원시 권선구 고색동 1143 ,"경기도 수원시 권선구 산업로156번길 88-34, 1층 103호 (고색동)",영업,편의점,37.2354532896,126.9843818055,권선구
이마트24 수원센트라우스점,경기도 수원시 권선구 서둔동 17-65 정안빌딩 ,"경기도 수원시 권선구 세화로168번길 12, 정안빌딩 1층 102호, 103호, 104호 (서둔동)",영업,편의점,37.2667285207,126.9940936051,권선구
씨유 권선센트럴점,경기도 수원시 권선구 세류동 252-9 ,"경기도 수원시 권선구 세류로 15, 1층 (세류동)",영업,편의점,37.262079951,127.0053798314,권선구
지에스25 서수원도서관점,경기도 수원시 권선구 탑동 753-10 ,"경기도 수원시 권선구 탑동로57번길 38, 성우그린빌 101호 (탑동)",영업,편의점,37.2737792048,126.9718034046,권선구
지에스 GS25 망포벽산점,경기도 수원시 영통구 망포동 485-16 1층 ,"경기도 수원시 영통구 영통로90번길 12, 1층 (망포동)",영업,편의점,37.2376509249,127.0598917371,영통구
GS25 세류버드내,경기도 수원시 권선구 세류동 464-1 ,"경기도 수원시 권선구 정조로543번길 17, 1층 (세류동)",영업,편의점,37.2580094748,127.0106390148,권선구
세븐일레븐 수원세류은정점,경기도 수원시 권선구 세류동 1147-3 ,"경기도 수원시 권선구 정조로398번길 11-27, 나동 1층 (세류동)",영업,편의점,37.2458533074,127.0159155321,권선구
GS세류타운점,경기도 수원시 권선구 세류동 590-11 ,"경기도 수원시 권선구 정조로443번길 3, 1층 (세류동)",영업,편의점,37.248822835,127.0124799938,권선구
지에스25 권선SK점,경기도 수원시 권선구 권선동 1035 권선 SK VIEW 110동 104호,"경기도 수원시 권선구 권선로694번길 26, 110동 1층 104호 (권선동, 권선 SK VIEW)",영업,편의점,37.2583721196,127.026672765,권선구
씨유 권선타운점,경기도 수원시 권선구 권선동 1263 신우아파트 ,"경기도 수원시 권선구 권중로 82, 상가2동 1층 일부호 (권선동, 신우아파트)",영업,편의점,37.2503941812,127.0287861751,권선구
세븐일레븐 수원세류희망점,경기도 수원시 권선구 세류동 1104-3 1층 ,"경기도 수원시 권선구 세지로28번길 50, 1층 (세류동)",영업,편의점,37.2536872017,127.0183124007,권선구
세븐일레븐 수원칠보9단지점,"경기도 수원시 권선구 호매실동 1352 칠보마을9단지 상가1동 103,104호 ","경기도 수원시 권선구 금곡로140번길 73, 상가1동 103,104호 (호매실동, 칠보마을9단지)",영업,편의점,37.2704042246,126.9453553845,권선구
세븐일레븐 수원호매실점,경기도 수원시 권선구 호매실동 1371 호매실마을13단지 상가동 101호,"경기도 수원시 권선구 호매실로218번길 111, 상가동 101호 (호매실동, 호매실마을13단지)",영업,편의점,37.2654728438,126.9607975342,권선구
GS비즈타워점,경기도 수원시 권선구 호매실동 1405-2 ,"경기도 수원시 권선구 호매실로90번길 24, 1층 145호 (호매실동)",영업,편의점,37.2567006744,126.9644122789,권선구
씨유 수원이오스점,경기도 수원시 권선구 권선동 1023-2 이오스 오피스텔 ,"경기도 수원시 권선구 권광로 145, 1층 104호 (권선동, 이오스 오피스텔)",영업,편의점,37.2607782587,127.0310559354,권선구
씨유(CU) 서둔골드점,경기도 수원시 권선구 서둔동 436 수원역 골드스테이션 이스턴 ,"경기도 수원시 권선구 권선로357번길 54, 수원역 골드스테이션 이스턴 106호 (서둔동)",영업,편의점,37.2620041778,126.9917456183,권선구
씨유 권선스타점,경기도 수원시 권선구 권선동 1016-5 ,"경기도 수원시 권선구 권선로699번길 24-22, 101호 (권선동)",영업,편의점,37.2595900308,127.0291912654,권선구
GS25매탄삼천리점,경기도 수원시 영통구 매탄동 1178-7 ,"경기도 수원시 영통구 동수원로286번길 13-2, 1층 (매탄동)",영업,편의점,37.2549700668,127.0371136668,영통구
씨유 영통대우동신점,경기도 수원시 영통구 영통동 956-2 대우.동신아파트 ,"경기도 수원시 영통구 영통로 460, 103,104호 (영통동, 대우.동신아파트)",영업,편의점,37.260145057,127.0758763339,영통구
씨유 팔달행궁점,경기도 수원시 팔달구 팔달로1가 7-8 ,"경기도 수원시 팔달구 정조로810번길 5, 1층 (팔달로1가)",영업,편의점,37.2804443812,127.0170364508,팔달구
GS25구운성원점,경기도 수원시 권선구 구운동 918-10 명수빌딩 102호,"경기도 수원시 권선구 일월천로4번길 54, 명수빌딩 1층 102호 (구운동)",영업,편의점,37.2824569993,126.9752736273,권선구
씨유수원메르디앙점,경기도 수원시 팔달구 우만동 552-21 ,"경기도 수원시 팔달구 중부대로143번길 81, 1층 (우만동)",영업,편의점,37.2818421883,127.0329219494,팔달구
GS25서둔센트럴점,경기도 수원시 권선구 서둔동 17-745 JS TOWER ,"경기도 수원시 권선구 권선로381번길 13, JS TOWER 107(일부)호 (서둔동)",영업,편의점,37.2621976246,126.9927142006,권선구
세븐일레븐 담소마루 경제과학진흥원점,경기도 수원시 영통구 이의동 906-5 경기도중소기업지원센터 ,"경기도 수원시 영통구 광교로 107, 경기도중소기업지원센터 지하1층 (이의동)",영업,편의점,37.2922832356,127.0429098579,영통구
씨유 고색태산점,경기도 수원시 권선구 고색동 886-125 1층 101호,"경기도 수원시 권선구 서부로1596번길 10, 1층 101호 (고색동)",영업,편의점,37.2514998729,126.9765596217,권선구
세븐일레븐경기대교육관점,경기도 수원시 영통구 이의동 산 94-6 경기대학교 ,"경기도 수원시 영통구 광교산로 154-42, 경기대학교 미래관 1층 일부호 (이의동)",영업,편의점,37.2996025763,127.0336809582,영통구
세븐일레븐(수원인계5호점),경기도 수원시 팔달구 인계동 953-12 ,경기도 수원시 팔달구 경수대로565번길 9 (인계동),영업,편의점,37.2762131173,127.0295389495,팔달구
지에스(GS)25 광교원천점,경기도 수원시 영통구 원천동 559 광교원천 경기행복주택 ,"경기도 수원시 영통구 광교중앙로49번길 40, 근린생활시설201동 1층 103호104호 중 일부호 (원천동, 광교원천 경기행복주택)",영업,편의점,37.2806468959,127.0501320602,영통구
씨유 영통테크트리점,경기도 수원시 영통구 신동 478-6 테크트리 영통 지식산업센터 ,"경기도 수원시 영통구 신원로 55, 테크트리 영통 지식산업센터 1층 129호 130호 중 일부호 (신동)",영업,편의점,37.2487558667,127.0478523397,영통구
세븐일레븐 수원권선SK점,경기도 수원시 권선구 권선동 1038 ,"경기도 수원시 권선구 권선로720번길 13, 1층 (권선동)",영업,편의점,37.2576093851,127.0298012755,권선구
세븐일레븐(수원인계3호점),"경기도 수원시 팔달구 인계동 1040-4 외2필지(1040-5,1040-11) ","경기도 수원시 팔달구 인계로138번길 36 (인계동,외2필지(1040-5,1040-11))",영업,편의점,37.2655583457,127.031736824,팔달구
GS25원천삼성,경기도 수원시 영통구 원천동 224-3 ,"경기도 수원시 영통구 중부대로448번길 29, 1층 (원천동)",영업,편의점,37.268093515,127.062974138,영통구
지에스(GS)25 영통한아름점,경기도 수원시 영통구 매탄동 1277 주공그린빌 ,"경기도 수원시 영통구 동탄원천로915번길 36, 상가동 1층 106호 106-1호 중 일부호 (매탄동, 주공그린빌)",영업,편의점,37.2566897363,127.0435648088,영통구
세븐일레븐 광교파인렉스점,"경기도 수원시 영통구 이의동 1257-4 1층  110,111호 ","경기도 수원시 영통구 대학3로4번길 2, 1층 110,111호 (이의동)",영업,편의점,37.2996303957,127.0431249154,영통구
씨유수원이노플렉스점,경기도 수원시 영통구 원천동 554 영통 이노플렉스-2단지 ,"경기도 수원시 영통구 신원로 304, 영통 이노플렉스-2단지 3동 1층 105호 (원천동)",영업,편의점,37.2622271848,127.0610118775,영통구
GS25 광교힐스점,경기도 수원시 영통구 하동 1021 힐스테이트 광교 127호,"경기도 수원시 영통구 센트럴파크로 6, 127호 (하동, 힐스테이트 광교)",영업,편의점,37.2842382111,127.0656220825,영통구
씨유 수원아메리카노점,경기도 수원시 권선구 곡반정동 597-11 ,"경기도 수원시 권선구 곡반정로33번길 2, 1층 우측호 (곡반정동)",영업,편의점,37.2329941381,127.0257604915,권선구
GS25 곡반프리미엄점,경기도 수원시 권선구 곡반정동 593-9 ,"경기도 수원시 권선구 곡반정로65번길 15, 1층 (곡반정동)",영업,편의점,37.234570507,127.0277460446,권선구
세븐일레븐 망포원룸점,경기도 수원시 영통구 망포동 527-1 ,"경기도 수원시 영통구 영통로90번길 47, 1층 일부호 (망포동)",영업,편의점,37.239107553,127.0589136796,영통구
씨유 수원세류사랑점,경기도 수원시 권선구 세류동 1155-3 ,"경기도 수원시 권선구 경수대로191번길 12, 1층 (세류동)",영업,편의점,37.244441329,127.016702543,권선구
세븐일레븐 수원테마거리점,경기도 수원시 팔달구 인계동 1126-7 ,"경기도 수원시 팔달구 효원로292번길 33-22, 1층 (인계동)",영업,편의점,37.2598688363,127.0335877047,팔달구
GS25 수원리버파크점,경기도 수원시 권선구 권선동 1304 매탄권선역 리버파크 ,"경기도 수원시 권선구 세권로 334, 상가동 104호 (권선동, 매탄권선역 리버파크)",영업,편의점,37.2509511181,127.0397542964,권선구
이마트24 R탑동가온점,경기도 수원시 권선구 탑동 790-2 1층 ,"경기도 수원시 권선구 탑동로48번길 12, 1층 (탑동)",영업,편의점,37.2731888401,126.9748529485,권선구
지에스25(GS25) 세류3동점,경기도 수원시 권선구 세류동 162-14 1층 ,"경기도 수원시 권선구 정조로 578, 1층 (세류동)",영업,편의점,37.2604543313,127.0133297856,권선구
세븐일레븐 영통9단지점,경기도 수원시 영통구 영통동 969-1 삼성.태영 아파트 ,"경기도 수원시 영통구 봉영로1517번길 73, 상가동 1층 108,109호 (영통동, 삼성.태영 아파트)",영업,편의점,37.2497382338,127.0646475181,영통구
세븐일레븐 광교두산위브점,"경기도 수원시 영통구 원천동 556 광교두산위브 노인복지주택, 지2층 105호","경기도 수원시 영통구 광교중앙로 55, 광교두산위브 노인복지주택 상가동 지2층 105호 (원천동)",영업,편의점,37.2803626527,127.0512392347,영통구
지에스25인계복개천점,경기도 수원시 팔달구 인계동 967 1층 ,"경기도 수원시 팔달구 경수대로479번길 19, 1층 (인계동)",영업,편의점,37.2691775383,127.0260975908,팔달구
세븐일레븐 영통1단지점,경기도 수원시 영통구 영통동 955-6 황골주공1단지 상가동 104호 ,"경기도 수원시 영통구 영통로514번길 52, 상가 나동 1층 104호 (영통동)",영업,편의점,37.2644533708,127.0808370828,영통구
세븐일레븐 매탄삼성점,경기도 수원시 영통구 매탄동 372-20 ,"경기도 수원시 영통구 신원로 295, 1층 101호 (매탄동)",영업,편의점,37.2618639978,127.0603034916,영통구
세븐일레븐 광교더샵점,"경기도 수원시 영통구 원천동 604 광교더샵 상가동 122,3호","경기도 수원시 영통구 광교호수로 15, 상가동 1층 122,123호 (원천동, 광교더샵)",영업,편의점,37.2717528082,127.0628740336,영통구
세븐일레븐 수원구운중앙점,경기도 수원시 권선구 구운동 475-9 ,"경기도 수원시 권선구 구운로86번길 30, 1층 일부호 (구운동)",영업,편의점,37.2803078039,126.9743973969,권선구
씨유 인계태산점,경기도 수원시 팔달구 인계동 1113-5 ,"경기도 수원시 팔달구 효원로265번길 54, 태산W타워 1층 104호 (인계동)",영업,편의점,37.2643511757,127.0319134691,팔달구
이마트24 광교아이엠센터점,경기도 수원시 영통구 원천동 587-2 IM CENTER 106d호,"경기도 수원시 영통구 월드컵로 76, IM CENTER 1층 106d호 (원천동)",영업,편의점,37.2743672145,127.0557076859,영통구
지에스25 수원월드점,경기도 수원시 팔달구 우만동 600 월드메르디앙 아파트 ,"경기도 수원시 팔달구 권광로 373, 분산상가동 1층 102호 (우만동, 월드메르디앙 아파트)",영업,편의점,37.2809521005,127.0335027563,팔달구
GS25신동래미안점,경기도 수원시 영통구 신동 939 래미안 영통마크원 1단지 ,"경기도 수원시 영통구 권선로908번길 72, 110동 1층 104 일부호 (신동, 래미안 영통마크원 1단지)",영업,편의점,37.2455264375,127.0425271711,영통구
씨유수원매곡로점,경기도 수원시 권선구 금곡동 1135-5 ,"경기도 수원시 권선구 서수원로523번길 30-17, 1층 (금곡동)",영업,편의점,37.2712451609,126.9575982424,권선구
지에스더프레시(GS the fresh) 수원팔달점,경기도 수원시 팔달구 매교동 287-110 ,"경기도 수원시 팔달구 효원로93번길 33, 힐스테이트 푸르지오 수원아파트 단지내 상가 1동 1층 101호,102호,103호,104호 (매교동)",영업,편의점,0.0,0.0,팔달구
GS25수원평동점,경기도 수원시 권선구 평동 10-31 ,"경기도 수원시 권선구 평동로 90, 1층 일부호 (평동)",영업,편의점,37.258923351,126.9943036924,권선구
씨유 팔달블루밍점,경기도 수원시 팔달구 화서동 250-4 블루밍 푸른숲 아파트 ,"경기도 수원시 팔달구 화양로50번길 30, 1층 104,105호 (화서동, 블루밍 푸른숲 아파트)",영업,편의점,37.2832055163,126.998224924,팔달구
씨유화서진흥점,경기도 수원시 팔달구 화서동 706 꽃뫼버들마을 진흥아파트 ,"경기도 수원시 팔달구 화산로 57, 상가동 1층 101호 (화서동, 꽃뫼버들마을 진흥아파트)",영업,편의점,37.2893477044,126.9844091194,팔달구
씨유 영통매원점,경기도 수원시 영통구 매탄동 205 ,"경기도 수원시 영통구 매원로11번길 32, 1층 (매탄동)",영업,편의점,37.2679384282,127.0480760241,영통구
씨유수원역비발디점,경기도 수원시 권선구 서둔동 0 수원역 한라비발디 퍼스트 ,"경기도 수원시 권선구 세화로154번길 7-10, 102동 1층 127호 (서둔동, 수원역 한라비발디 퍼스트)",영업,편의점,37.2649468475,126.9948160449,권선구
씨유 성일프리미엄점,경기도 수원시 영통구 매탄동 1199 성일아파트 1층 상가동 104호,"경기도 수원시 영통구 동탄원천로1109번길 42, 상가동 1층 104호 (매탄동, 원천성일아파트)",영업,편의점,37.2702673999,127.0561152609,영통구
세븐일레븐 수원매탄점,경기도 수원시 영통구 매탄동 199-8 ,"경기도 수원시 영통구 매여울로 7, 1층 일부호 (매탄동)",영업,편의점,37.2702471074,127.0483667568,영통구
세븐일레븐세류베스트점,경기도 수원시 권선구 세류동 579-16 1층 ,"경기도 수원시 권선구 정조로443번길 41, 1층 (세류동)",영업,편의점,37.2501148131,127.0110170776,권선구
씨유(CU) 서둔5번가점,경기도 수원시 권선구 서둔동 24-90 101호,"경기도 수원시 권선구 권선로381번길 1, 1층 101호 (서둔동)",영업,편의점,37.2613162644,126.9931824922,권선구
GS25 수원당수,"경기도 수원시 권선구 당수동 232-6 104,105호 ","경기도 수원시 권선구 당진로 17, 104,105호 (당수동)",영업,편의점,37.2907608208,126.9402983402,권선구
씨유 수원신동타운점,경기도 수원시 영통구 신동 933-1 ,"경기도 수원시 영통구 권선로882번길 31-31, 1층 일부호 (신동)",영업,편의점,37.248065611,127.0441467858,영통구
세븐일레븐 광교아르데코점,경기도 수원시 영통구 이의동 1358 광교아르데코 103호,"경기도 수원시 영통구 광교로42번길 80, 1층 103호 (이의동, 광교아르데코 )",영업,편의점,37.28623242,127.0446048125,영통구
씨유 광교레이크점,경기도 수원시 영통구 하동 1021 힐스테이트 광교 ,"경기도 수원시 영통구 센트럴파크로 6, 301동 지2층 148호 (하동, 힐스테이트 광교)",영업,편의점,37.2842382111,127.0656220825,영통구
세븐일레븐 수원영통2호점,경기도 수원시 영통구 영통동 1033-8 ,"경기도 수원시 영통구 청명북로 8, 1층 일부호 (영통동)",영업,편의점,37.2522884849,127.0794160186,영통구
GS25  수원신미주점,경기도 수원시 팔달구 인계동 375-11 태화빌딩 ,"경기도 수원시 팔달구 권광로276번길 31, 태화빌딩 1층 (인계동)",영업,편의점,37.272026254,127.0375732246,팔달구
세븐일레븐 수원힐스테이트점,경기도 수원시 팔달구 매교동 287-110 ,"경기도 수원시 팔달구 효원로93번길 33, 힐스테이트푸르지오상가 2동 110호 (매교동)",영업,편의점,37.2683307749,127.0129069032,팔달구
씨유 권선중앙점,경기도 수원시 권선구 권선동 973-5 ,"경기도 수원시 권선구 세지로94번길 45, 1층 (권선동)",영업,편의점,37.2594391917,127.02080189,권선구
이마트24 R영통자이점,경기도 수원시 영통구 망포동 800 영통자이 ,"경기도 수원시 영통구 영통로89번길 83, 1층 102,103 일부호 (망포동, 영통자이)",영업,편의점,37.2340434109,127.0545577796,영통구
씨유 팔달행궁매향점,경기도 수원시 팔달구 매향동 124-18 ,"경기도 수원시 팔달구 창룡대로 65-3, 1층 (매향동)",영업,편의점,37.284700321,127.0218149896,팔달구
이마트24 수원청광점,경기도 수원시 권선구 권선동 1010-1 청광 노블하임 ,"경기도 수원시 권선구 경수대로 408, 청광 노블하임 1층 106(일부)호 (권선동)",영업,편의점,37.2626488079,127.0254392791,권선구
씨유 매탄성일W점,경기도 수원시 영통구 매탄동 810-4 매탄성일아파트 ,"경기도 수원시 영통구 인계로 239, 상가동 7, 8호 (매탄동, 매탄성일아파트)",영업,편의점,37.264989046,127.0429057047,영통구
GS25 수원율현점,경기도 수원시 팔달구 화서동 725-3 리더스빌딩 1층 ,"경기도 수원시 팔달구 일월로22번길 10, 리더스빌딩 1층 (화서동)",영업,편의점,37.2854285314,126.9807130764,팔달구
씨유 광교유니코어점,경기도 수원시 영통구 이의동 1351-6 유니코어 106호,"경기도 수원시 영통구 도청로 95, 유니코어 106호 (이의동)",영업,편의점,37.2909225156,127.0477016625,영통구
세븐일레븐우만신성점,경기도 수원시 팔달구 우만동 139-5 ,"경기도 수원시 팔달구 중부대로 189, 1층 (우만동)",영업,편의점,37.2771711905,127.0370567153,팔달구
세븐일레븐 수원신원로점,경기도 수원시 영통구 신동 334-41 ,"경기도 수원시 영통구 신원로136번길 30, 지하1층 일부호 (신동)",영업,편의점,37.2480705629,127.0549262487,영통구
이마트24R고색산단점,경기도 수원시 권선구 고색동 1098 ,"경기도 수원시 권선구 산업로 190, 주건축물제2동 1층 (고색동)",영업,편의점,37.2425791634,126.9854945666,권선구
세븐일레븐 우만주공스카이점,경기도 수원시 팔달구 우만동 28 주공아파트 ,"경기도 수원시 팔달구 중부대로223번길 102, 상가동 1층 101호 (우만동, 주공아파트)",영업,편의점,37.2815201606,127.0381468585,팔달구
세븐일레븐 팔달신우점,경기도 수원시 팔달구 화서동 206-4 ,"경기도 수원시 팔달구 화양로29번길 2, 1층 (화서동)",영업,편의점,37.2808293718,126.996932163,팔달구
세븐일레븐 영통7단지점,"경기도 수원시 영통구 영통동 988-2 살구골 진덕,서광,성지,동아 아파트 ","경기도 수원시 영통구 봉영로 1526, 어린이집동 1층 101호 중 일부호 (영통동, 살구골 진덕,서광,성지,동아 아파트)",영업,편의점,37.2484345365,127.0704958217,영통구
이마트24 수원동남점,경기도 수원시 권선구 평동 151 평동동남아파트 ,"경기도 수원시 권선구 권선로436번길 21, 상가동 101호 (평동, 평동동남아파트)",영업,편의점,37.2625469026,127.000662675,권선구
GS25 수원고색본점,경기도 수원시 권선구 고색동 7-92 ,"경기도 수원시 권선구 서둔로 10, 1층 (고색동)",영업,편의점,37.2527955831,126.9842523659,권선구
세븐일레븐 권선꿈에그린점,경기도 수원시 권선구 오목천동 1180 수원권선 꿈에그린 아파트 ,"경기도 수원시 권선구 서수원로 99, 309(근린생활시설1)동 105,106호 (오목천동, 수원권선 꿈에그린 아파트)",영업,편의점,37.2358955185,126.9742549438,권선구
세븐일레븐(수원권선2호점),경기도 수원시 권선구 권선동 1197-7 ,경기도 수원시 권선구 덕영대로1217번길 25-2 (권선동),영업,편의점,37.2500332619,127.0241878544,권선구
GS25권선삼정,경기도 수원시 권선구 당수동 216 ,"경기도 수원시 권선구 당수로 203, 가동 1층 (당수동)",영업,편의점,37.2900311951,126.9442298217,권선구
GS25 수원팅스점,경기도 수원시 팔달구 매산로1가 115-1 1층 ,"경기도 수원시 팔달구 덕영대로895번길 41, 1층 (매산로1가)",영업,편의점,37.2701290724,127.0010073684,팔달구
GS25 뉴영통파크캐슬점,경기도 수원시 영통구 망포동 766 영통아이파크캐슬1단지 ,"경기도 수원시 영통구 덕영대로 1410, 상가A동 1층 108,109호 (망포동, 영통아이파크캐슬1단지)",영업,편의점,37.2438838732,127.0443410987,영통구
GS25 수원고색역,경기도 수원시 권선구 고색동 52-8 ,"경기도 수원시 권선구 고색로54번길 2, 1층 (고색동)",영업,편의점,37.2500753329,126.9826359038,권선구
GS25 권선명당점,경기도 수원시 권선구 권선동 1283-2 도원주택 ,"경기도 수원시 권선구 세권로315번길 33-4, 도원주택 1층 (권선동)",영업,편의점,37.2528924257,127.0382878404,권선구
이마트24 수원진우점,경기도 수원시 팔달구 지동 138-3 진우아파트 ,"경기도 수원시 팔달구 팔달문로 82, 진우아파트 상가동 101~104호 (지동)",영업,편의점,37.2802368987,127.0259154554,팔달구
GS25고색밸리,경기도 수원시 권선구 고색동 1152 수원벤처밸리Ⅱ A-117호 ,"경기도 수원시 권선구 산업로156번길 142-10, 1층 A-117호 (고색동, 수원벤처밸리Ⅱ)",영업,편의점,37.2384099802,126.9864812076,권선구
씨유 수원세종타운점,경기도 수원시 권선구 금곡동 1118-1 세종타운721 ,"경기도 수원시 권선구 금곡로 204, 세종타운721 1층 121호 (금곡동)",영업,편의점,37.2736954342,126.9533508895,권선구
씨유 수원당수2단지점,경기도 수원시 권선구 금곡동 861 ,"경기도 수원시 권선구 당수1로 15, 상가동 1층 3,4호 (금곡동)",영업,편의점,37.2803412898,126.9442333976,권선구
씨유 영통하임점,경기도 수원시 영통구 원천동 300-3 신미주아파트 ,"경기도 수원시 영통구 삼성로 308, 상가동 102호 일부호 (원천동, 신미주아파트)",영업,편의점,37.2671092663,127.0674122629,영통구
이마트24 R당수행복점,경기도 수원시 권선구 당수동 388-19 ,"경기도 수원시 권선구 당수로130번길 13, LH 수원당수1단지 근린생활시설동 105, 106호 (당수동)",영업,편의점,37.2868216774,126.9441067703,권선구
CU권선자이점,경기도 수원시 권선구 권선동 1330 권선자이 이편한세상 ,"경기도 수원시 권선구 권광로 55, 상가A동 102호 (권선동, 권선자이 이편한세상)",영업,편의점,37.2528439957,127.0260307717,권선구
지에스25 경기대후문점,경기도 수원시 영통구 이의동 1276-7 ,"경기도 수원시 영통구 대학1로 8, 1층 (이의동)",영업,편의점,37.297383198,127.0424163972,영통구
GS25 영통원천빌점,경기도 수원시 영통구 원천동 615-7 ,"경기도 수원시 영통구 월드컵로97번길 35, 1층 (원천동)",영업,편의점,37.2741442049,127.0515468574,영통구
세븐일레븐 오목푸르지오점,경기도 수원시 권선구 오목천동 314-22 ,"경기도 수원시 권선구 삼천병마로1598번길 52, 1층 일부호 (오목천동)",영업,편의점,37.2462972892,126.966120836,권선구
미니스톱영통뉴월드,경기도 수원시 영통구 영통동 960-3 (109호) ,"경기도 수원시 영통구 봉영로 1569 (영통동,(109호))",영업,편의점,37.2520691395,127.0710390017,영통구
씨유매탄산드래미점,경기도 수원시 영통구 매탄동 840-1 ,"경기도 수원시 영통구 매탄로168번길 32 (매탄동, 840-1번지 1층일부)",영업,편의점,37.2647621867,127.0472040344,영통구
지에스25 화서한진점,경기도 수원시 팔달구 화서동 656 한진현대아파트 ,"경기도 수원시 팔달구 덕영대로735번길 18, 상가동 1층 106호 (화서동, 한진현대아파트)",영업,편의점,37.2817870156,126.9932144635,팔달구
세븐일레븐 영통테라타워점,경기도 수원시 영통구 원천동 627 현대 테라타워 영통 ,"경기도 수원시 영통구 신원로250번길 13, 현대 테라타워 영통 1층 128호 (원천동)",영업,편의점,37.2578833846,127.0612626283,영통구
세븐일레븐 신동까페거리점,경기도 수원시 영통구 신동 923-2 1층 ,"경기도 수원시 영통구 권선로882번길 31-9, 101호 (신동)",영업,편의점,37.2486748099,127.043173405,영통구
